CardName,Code,Level,Cost,Color,Type,Abilities,Zone,Trait,Link,AP/HP,Source Title
Improved Technique,GD03-109,3,3,Red,COMMAND,"【Burst】Activate this card's 【Main】. 【Main】/【Action】Choose 1 enemy Unit that is Lv.4 or lower. Deal 3 damage to it. If there are 2 or more cards with ""Improved Technique"" in their card name in your trash, choose 1 enemy Unit instead.",-,-,-,-/-,Mobile Suit Gundam GQuuuuuuX
Eliminate Target,GD03-110,6,1,Red,COMMAND,【Main】/【Action】Choose 1 Pilot paired with an enemy Unit that is Lv.5 or lower. Destroy it.,-,-,-,-/-,After War Gundam X
Infiltrator Present,GD03-111,3,1,Red,COMMAND,【Main】/【Action】Choose 1 friendly (Mafty) Unit. It gets AP+3 during this turn. 【Pilot】[Emeralda Zubin],-,(Mafty),-,+0/+1,Mobile Suit Gundam: Hathaway's Flash
Warped Intent,GD03-112,4,1,Red,COMMAND,"【Burst】Add this card to your hand. 【Main】/【Action】During this turn, all Units paired with a Pilot get AP+2.",-,-,-,-/-,Mobile Suit Gundam SEED
Human Karma,GD03-113,3,2,Red,COMMAND,"【Main】/【Action】Choose 1 active friendly Unit. Rest it. If you do, choose 1 enemy Unit whose Lv. is equal to or lower than the Unit rested with this ability. Deal 3 damage to it.",-,-,-,-/-,Mobile Suit Gundam SEED
Look of Determination,GD03-114,2,2,Purple,COMMAND,"【Burst】Activate this card's 【Action】. 【Action】Choose 1 active enemy Unit that is Lv.2 or lower. Destroy it. If there are 10 or more cards in your trash, choose 1 active enemy Unit that is Lv.4 or lower instead.",-,-,-,-/-,Mobile Suit Gundam IRON-BLOODED ORPHANS
Distant Reunion,GD03-115,3,1,Purple,COMMAND,"【Action】Choose 1 friendly Unit paired with an (X-Rounder) Pilot. It can't receive battle damage from enemy Units with 2 or less AP during this battle. If you are Lv.7 or higher, it can't receive battle damage from enemy Units with 5 or less AP instead. 【Pilot】[Yurin L'Ciel]",-,(Civilian) (Vagan) (X-Rounder),-,+1/+0,Mobile Suit Gundam AGE
Towards Destiny,GD03-116,3,1,Purple,COMMAND,【Main】/【Action】Choose 1 friendly (Vagan) Unit and 1 enemy Unit. Deal 2 damage to them.,-,-,-,-/-,Mobile Suit Gundam AGE
Orga's Order,GD03-117,3,1,Purple,COMMAND,"【Main】If 1 to 4 enemy Units are in play, deploy 1 [Graze Custom]((Tekkadan)･AP2･HP2) Unit token. If 5 or more are in play, deploy 1 [Gundam Barbatos 4th Form]((Tekkadan)･AP4･HP4) Unit token.",-,-,-,-/-,Mobile Suit Gundam IRON-BLOODED ORPHANS
Awakened Potential,GD03-118,4,1,White,COMMAND,"【Burst】Add this card to your hand. 【Action】Choose 1 rested enemy Unit that is Lv.4 or lower. Return it to its owner's hand. Then, if there are 2 or more cards with ""Awakened Potential"" in their card name in your trash, you may choose 1 friendly Unit. It gains <Blocker> during this turn. (Rest this Unit to change the attack target to it.)",-,-,-,-/-,Mobile Suit Gundam SEED
Awkward Approach,GD03-119,3,1,White,COMMAND,"【Main】Choose 1 rested friendly Base. Set it as active. If you do, all enemy Units get AP-1 during this turn.",-,-,-,-/-,Mobile Suit Z Gundam
Immortal Colasour,GD03-120,2,1,White,COMMAND,"【Main】During this turn, if a friendly (Superpower Bloc)/(UN) Unit destroys an enemy Unit with battle damage, choose 1 rested friendly (Superpower Bloc)/(UN) Unit. Set it as active. It can't attack during this turn. 【Pilot】[Patrick Colasour]",-,(Superpower Bloc) (UN),-,+1/+0,Mobile Suit Gundam 00
Unheralded Attack,GD03-121,1,1,White,COMMAND,【Action】Choose 1 friendly Base and 1 enemy Unit with 3 or less HP. Rest them. 【Pilot】[Katz Kobayashi],-,(AEUG) (Newtype),-,+1/+0,Mobile Suit Z Gundam
Veteran Tactics,GD03-122,2,1,White,COMMAND,【Action】Choose 1 enemy Unit that is Lv.3 or lower. Return it to its owner's hand. 【Pilot】[Sergei Smirnov],-,(Superpower Bloc) (UN),-,+0/+1,Mobile Suit Gundam 00
Jupitris,GD03-123,3,1,Blue,BASE,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, if a friendly (Jupitris) Unit is in play, choose 1 enemy Unit that is Lv.3 or lower. Rest it.",Space,(Titans) (Jupitris) (Warship),-,-/5,Mobile Suit Z Gundam
Ribo Colony,GD03-124,3,1,Blue,BASE,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Once per Turn】When you pair a Pilot that is Lv.3 or lower with one of your Units, choose 1 enemy Unit with 3 or less HP. Rest it.",Space,(Earth Federation) (Stronghold),-,-/5,Mobile Suit Gundam 0080: War in the Pocket
Peacemillion,GD03-125,6,1,Green,BASE,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Once per Turn】During your turn, when a friendly (Operation Meteor)/(G Team) Unit that is Lv.6 or higher destroys an enemy Unit with battle damage, that friendly Unit may recover 2 HP.",Space,(G Team) (Warship),-,-/6,Mobile Suit Gundam Wing
Cyclops Team,GD03-126,4,1,Green,BASE,【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. All friendly Unit tokens get AP+1 during your opponent's turn.,Earth,(Zeon) (Cyclops Team),-,-/5,Mobile Suit Gundam 0080: War in the Pocket
Jachin Due,GD03-127,6,1,Red,BASE,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, Choose 1 friendly (ZAFT) Unit. It gets AP+3 during this turn.",Space,(ZAFT) (Stronghold),-,-/6,Mobile Suit Gundam SEED
Doritea,GD03-128,4,1,Red,BASE,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Once per Turn】During your opponent's turn, when one of your Units is rested by one of your opponent's effects, choose 1 enemy Unit. Deal 1 damage to it.",Earth,(New UNE) (Warship),-,-/5,After War Gundam X
Hotarubi,GD03-129,4,1,Purple,BASE,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. During your turn, when one of your friendly (Tekkadan)/(Teiwaz) Units receives effect damage, you may rest this Base. If you do, place the top card of your deck into your trash.",Space,(Tekkadan) (Warship),-,-/5,Mobile Suit Gundam IRON-BLOODED ORPHANS
Downes,GD03-130,5,2,Purple,BASE,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, if it is your turn, you may choose 1 (Vagan) Unit card that is Lv.4 or lower from your trash. Pay its cost to deploy it.",Space,(Vagan) (Stronghold),-,-/5,Mobile Suit Gundam AGE
Eternal,GD03-131,5,2,White,BASE,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, if you have 2 or more (Triple Ship Alliance) Units in play, choose 1 enemy Unit that is Lv.4 or lower. Return it to its owner's hand.",Space,(Triple Ship Alliance) (Warship),-,-/5,Mobile Suit Gundam SEED
Radish,GD03-132,2,1,White,BASE,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Destroyed】If you have an (AEUG) Link Unit in play, choose 1 enemy Unit with 4 or less HP. Rest it.",Space,(AEUG) (Warship),-,-/5,Mobile Suit Z Gundam
