CardName,Code,Level,Cost,Color,Type,Abilities,Zone,Trait,Link,AP/HP,Source Title
Aspiring Pilot,GD02-120,3,1,White,COMMAND,【Action】Choose 1 of your (AEUG) Units/Bases. It recovers 2 HP. 【Pilot】[Fa Yuiry],-,(AEUG),-,+0/+1,Mobile Suit Z Gundam
Dominion,GD02-121,4,1,Blue,BASE,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, choose 1 friendly blue Unit. It recovers 2 HP.",Space Earth,(Earth Alliance) (Warship),-,-/5,Mobile Suit Gundam SEED
Alexandria,GD02-122,3,2,Blue,BASE,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, choose 1 rested enemy Unit that is Lv.4 or lower. Deal 1 damage to it.",Space,(Titans) (Warship),-,-/5,Mobile Suit Z Gundam
Sodon,GD02-123,3,2,Green,BASE,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, choose 1 friendly Unit token. During this turn, it may choose an active enemy Unit with 5 or less AP as its attack target.",Space Earth,(Zeon) (Warship),-,-/5,Mobile Suit Gundam GQuuuuuuX
Diva,GD02-124,3,1,Green,BASE,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. During your turn, while you are Lv.7 or higher, all friendly green (Earth Federation) Units get AP+1.",Space Earth,(Earth Federation) (Warship),-,-/5,Mobile Suit Gundam AGE
Gwadan,GD02-125,4,2,Red,BASE,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, if it is your turn, you may discard 1 red card. If you do, draw 1.",Space,(Neo Zeon) (Warship),-,-/5,Mobile Suit Z Gundam
Shuji's Hideout,GD02-126,3,1,Red,BASE,【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Destroyed】Choose 1 enemy Unit that is Lv.4 or lower. Deal 1 damage to it.,Space,(Clan) (Stronghold),-,-/5,Mobile Suit Gundam GQuuuuuuX
Freeden,GD02-127,2,1,Purple,BASE,【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Destroyed】Place the top 2 cards of your deck into your trash.,Earth,(Vulture) (Warship),-,-/5,After War Gundam X
Hammerhead,GD02-128,4,2,Purple,BASE,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, if it is your turn and a friendly (Teiwaz) Link Unit is in play, choose 1 enemy Unit with 2 or less AP. Destroy it.",Space,(Teiwaz) (Warship),-,-/5,Mobile Suit Gundam IRON-BLOODED ORPHANS
Argama,GD02-129,3,1,White,BASE,【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. This Base can't receive enemy effect damage.,Space Earth,(AEUG) (Warship),-,-/5,Mobile Suit Z Gundam
Sleipnir,GD02-130,4,2,White,BASE,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, if a friendly (Gjallarhorn) Unit is in play, choose 1 enemy Unit. It gets AP-2 during this turn.",Space,(Gjallarhorn) (Warship),-,-/5,Mobile Suit Gundam IRON-BLOODED ORPHANS
